,index,error_type,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
30,fan_out,Functions/Call Resolution,1.734028e-01,5.208827e-02,3.329018e+00,8.715287e-04,7.131164e-02,2.754939e-01
31,halstead_effort,Functions/Call Resolution,5.094662e-02,8.914676e-02,5.714916e-01,5.676665e-01,-1.237778e-01,2.256711e-01
32,loc,Symbol/Lookup,-9.970478e-02,5.672819e-02,-1.757588e+00,7.881765e-02,-2.108900e-01,1.148043e-02
33,cc,Symbol/Lookup,6.620622e-02,3.467206e-02,1.909498e+00,5.619793e-02,-1.749774e-03,1.341622e-01
34,nested_depth,Symbol/Lookup,-4.595855e-02,2.405850e-02,-1.910284e+00,5.609669e-02,-9.311234e-02,1.195231e-03
35,params,Symbol/Lookup,-1.382208e-01,2.976899e-02,-4.643115e+00,3.431948e-06,-1.965670e-01,-7.987469e-02
36,object_params,Symbol/Lookup,9.503009e-02,3.000337e-02,3.167314e+00,1.538543e-03,3.622456e-02,1.538356e-01
37,fan_in,Symbol/Lookup,-6.353653e-02,1.489137e-02,-4.266666e+00,1.984155e-05,-9.272309e-02,-3.434997e-02
38,fan_out,Symbol/Lookup,9.147304e-02,2.367721e-02,3.863338e+00,1.118482e-04,4.506657e-02,1.378795e-01
39,halstead_effort,Symbol/Lookup,7.411293e-02,4.008215e-02,1.849026e+00,6.445411e-02,-4.446646e-03,1.526725e-01
40,loc,Override/Inheritance,-1.735798e-01,8.986928e-02,-1.931470e+00,5.342498e-02,-3.497204e-01,2.560749e-03
41,cc,Override/Inheritance,2.847235e-02,5.117255e-02,5.563988e-01,5.779383e-01,-7.182402e-02,1.287687e-01
42,nested_depth,Override/Inheritance,6.294159e-02,3.474085e-02,1.811746e+00,7.002547e-02,-5.149221e-03,1.310324e-01
43,params,Override/Inheritance,-1.249925e-01,4.722468e-02,-2.646762e+00,8.126644e-03,-2.175512e-01,-3.243383e-02
44,object_params,Override/Inheritance,1.390514e-01,4.689939e-02,2.964887e+00,3.027938e-03,4.713029e-02,2.309725e-01
45,fan_in,Override/Inheritance,-8.223342e-02,2.832073e-02,-2.903648e+00,3.688426e-03,-1.377410e-01,-2.672582e-02
46,fan_out,Override/Inheritance,2.609934e-01,2.597188e-02,1.004908e+01,9.273322e-24,2.100895e-01,3.118974e-01
47,halstead_effort,Override/Inheritance,6.454743e-02,1.339384e-01,4.819187e-01,6.298637e-01,-1.979671e-01,3.270619e-01
48,loc,Templates/Generics,7.962243e-01,2.342942e-01,3.398396e+00,6.778228e-04,3.370162e-01,1.255432e+00
49,cc,Templates/Generics,-1.864027e-01,1.878335e-01,-9.923828e-01,3.210108e-01,-5.545496e-01,1.817442e-01
50,nested_depth,Templates/Generics,-6.917213e-02,1.207942e-01,-5.726445e-01,5.668854e-01,-3.059244e-01,1.675801e-01
51,params,Templates/Generics,-1.362849e-01,1.512562e-01,-9.010207e-01,3.675773e-01,-4.327416e-01,1.601717e-01
